"","exact_isolate","asymptote","intercept","growthParam","Isolate","host_species","plate_no"
"22","Plate_1_3DF_E3",467.996495368552,-8.50859300564106,0.0756247630737305,"3DF","chlorella",1
"23","Plate_1_3DF_F3",447.406207694143,-8.74595386632409,0.0762435834017728,"3DF","chlorella",1
"24","Plate_1_3DF_G3",421.888577397253,-8.83250542192895,0.0783893100398268,"3DF","chlorella",1
"25","Plate_1_4DF_B4",439.899190932165,-7.15585697410626,0.0616420618581586,"4DF","chlorella",1
"26","Plate_1_4DF_C4",446.808202708308,-6.45091527613102,0.0576216105266062,"4DF","chlorella",1
"27","Plate_1_4DF_D4",402.741402342849,-6.90654450420493,0.0616759651734913,"4DF","chlorella",1
"28","Plate_1_5DF_E4",559.109776992298,-9.99994500155855,0.0963893895528397,"5DF","chlorella",1
"29","Plate_1_5DF_F4",536.413636070705,-12.7926048796303,0.131055741566539,"5DF","chlorella",1
"30","Plate_1_5DF_G4",577.900974604873,-10.3512061223921,0.0888336559712536,"5DF","chlorella",1
"31","Plate_1_6DF_B5",459.441880804593,-6.56488593399863,0.0549053040387828,"6DF","chlorella",1
"32","Plate_1_6DF_C5",567.186641179583,-8.45963958241267,0.076706794749721,"6DF","chlorella",1
"33","Plate_1_6DF_D5",419.883948555836,-7.31309267047087,0.0616486305718971,"6DF","chlorella",1
"34","Plate_1_7DF_E5",358.509513467237,-17.7179716980502,0.0010491032890514,"7DF","chlorella",1
"35","Plate_1_7DF_F5",7659.52758822479,-364.630729060295,0.0239044945130971,"7DF","chlorella",1
"36","Plate_1_7DF_G5",2483.29227870904,-115.212913837003,0.0255648875445094,"7DF","chlorella",1
"37","Plate_1_8DF_B6",387.513636108767,-7.3864448405631,0.0669428311504482,"8DF","chlorella",1
"38","Plate_1_8DF_C6",382.846664722089,-6.6455144775591,0.060498641556251,"8DF","chlorella",1
"39","Plate_1_8DF_D6",339.13567437053,-6.28613459983373,0.0596368415941797,"8DF","chlorella",1
"40","Plate_1_9,1DF_B7",378.570292266863,-7.24948971646291,0.0645146095739733,"9,1DF","chlorella",1
"41","Plate_1_9,1DF_C7",357.701970062079,-6.86213518731447,0.0627241317568184,"9,1DF","chlorella",1
"42","Plate_1_9,1DF_D7",337.735894835444,-6.26953973093719,0.0565478780348214,"9,1DF","chlorella",1
"43","Plate_1_9,2DF_E7",214.927150030923,-5.74288857005025,0.0656990289737389,"9,2DF","chlorella",1
"44","Plate_1_9,2DF_F7",229.680489535394,-3.90088260449594,0.0451136580802103,"9,2DF","chlorella",1
"45","Plate_1_9,2DF_G7",194.388782526269,-4.92225298430189,0.0583092202880914,"9,2DF","chlorella",1
"46","Plate_1_9DF_E6",263.65365046974,-4.86070282183208,0.0539885247735161,"9DF","chlorella",1
"47","Plate_1_9DF_F6",361.688422733099,-4.18010422783689,0.0411651855887927,"9DF","chlorella",1
"48","Plate_1_9DF_G6",264.361668803751,-4.41728106626957,0.0529158117263121,"9DF","chlorella",1
"49","Plate_1_AC_B11",240.649649576264,-5.2706932768084,0.054005656040326,"AC","chlorella",1
"50","Plate_1_AC_C11",232.069105403324,-4.95113386728777,0.0512919833337833,"AC","chlorella",1
"51","Plate_1_AC_D11",217.294174049375,-4.50143719317087,0.0488294551174016,"AC","chlorella",1
"52","Plate_1_AC_E11",209.732775602737,-4.09914748991731,0.0436812878497778,"AC","chlorella",1
"53","Plate_10_100D3_E5",277.4514991227,-4.59263880727429,0.0355524514586985,"100D3","scenedesmus",10
"54","Plate_10_100D3_F5",270.142240611663,-4.51019113558638,0.0340908964135488,"100D3","scenedesmus",10
"55","Plate_10_100D3_G5",283.215976981684,-4.44142951513932,0.0330265423543151,"100D3","scenedesmus",10
"56","Plate_10_101D3_B6",200.971831698035,-4.38575350994606,0.0341450833922357,"101D3","scenedesmus",10
"57","Plate_10_101D3_C6",185.577415103429,-4.59091028202986,0.0364338014667249,"101D3","scenedesmus",10
"58","Plate_10_101D3_D6",4221.42290084651,-204.17272019512,-0.0212161424778509,"101D3","scenedesmus",10
"59","Plate_10_102D3_E6",229.556744602104,-4.67767468968248,0.0388052696503778,"102D3","scenedesmus",10
"60","Plate_10_102D3_F6",258.673278905534,-4.29793636318024,0.0322915814507759,"102D3","scenedesmus",10
"61","Plate_10_102D3_G6",298.716966492083,-4.38692233210374,0.0311381080887094,"102D3","scenedesmus",10
"62","Plate_10_103D3_B7",218.086541275998,-4.64372822917203,0.0359899386600825,"103D3","scenedesmus",10
"63","Plate_10_103D3_C7",217.167891839213,-4.44684799120993,0.0314106090923992,"103D3","scenedesmus",10
"64","Plate_10_103D3_D7",174.257562368514,-5.22092268019588,0.0315582618437914,"103D3","scenedesmus",10
"65","Plate_10_104D3_E7",236.363923975164,-4.46663166778463,0.0349293242410152,"104D3","scenedesmus",10
"66","Plate_10_104D3_F7",274.303133342763,-4.30005784010225,0.0310861534098602,"104D3","scenedesmus",10
"67","Plate_10_104D3_G7",312.555570425989,-4.51305385589239,0.0311563516465696,"104D3","scenedesmus",10
"68","Plate_10_105D3_B8",233.096871321838,-4.57816237259817,0.0371656568212298,"105D3","scenedesmus",10
"69","Plate_10_105D3_C8",261.19104158268,-4.60726811504741,0.0368536614378378,"105D3","scenedesmus",10
"70","Plate_10_105D3_D8",252.061329483258,-4.6173167302765,0.0352162913841454,"105D3","scenedesmus",10
"71","Plate_10_106D3_E8",335.178645291479,-4.87524459806645,0.0358164818051109,"106D3","scenedesmus",10
"72","Plate_10_106D3_F8",338.328722986855,-4.77855614260657,0.0361004005961525,"106D3","scenedesmus",10
"73","Plate_10_106D3_G8",373.618965339855,-4.79167364471326,0.0346336189601066,"106D3","scenedesmus",10
"74","Plate_10_113D3_B9",271.33389122021,-4.91587412438364,0.0393977515637955,"113D3","scenedesmus",10
"75","Plate_10_113D3_C9",254.249863837099,-4.82169970640475,0.0386092860939131,"113D3","scenedesmus",10
"76","Plate_10_113D3_D9",255.336055485252,-4.90586260719302,0.0367905298346371,"113D3","scenedesmus",10
"77","Plate_10_114D3_E9",247.848812790748,-4.42805197081932,0.0322897193270902,"114D3","scenedesmus",10
"78","Plate_10_114D3_F9",274.850291525191,-4.31300323422927,0.0303982575247696,"114D3","scenedesmus",10
"79","Plate_10_114D3_G9",277.512443237447,-4.69617903814795,0.0361814814666035,"114D3","scenedesmus",10
"80","Plate_10_115D3_B10",275.531333944307,-4.57869842441326,0.0371753044349474,"115D3","scenedesmus",10
"81","Plate_10_115D3_C10",285.797853286117,-4.46568809592603,0.0334243990921438,"115D3","scenedesmus",10
"82","Plate_10_115D3_D10",263.510200673359,-4.78609244948772,0.0370957355234645,"115D3","scenedesmus",10
"83","Plate_10_117D3_E10",251.648726530787,-4.688500500059,0.033527443285035,"117D3","scenedesmus",10
"84","Plate_10_117D3_F10",241.403795037562,-4.81834054795156,0.0352994729322866,"117D3","scenedesmus",10
"85","Plate_10_117D3_G10",242.831352529204,-4.77820161840194,0.0350776969293145,"117D3","scenedesmus",10
"86","Plate_10_87D3_B2",216.283604234858,-4.6029123137384,0.0374843361085383,"87D3","scenedesmus",10
"87","Plate_10_87D3_C2",231.005338940067,-4.56200426066659,0.0358776249421786,"87D3","scenedesmus",10
"88","Plate_10_87D3_D2",301.076834695849,-4.3666917666269,0.0329514991476232,"87D3","scenedesmus",10
"89","Plate_10_88D3_E2",277.232958697135,-4.27058074482894,0.0325590965470467,"88D3","scenedesmus",10
"90","Plate_10_88D3_F2",274.690521653905,-4.2813652850336,0.032217888168455,"88D3","scenedesmus",10
"91","Plate_10_88D3_G2",299.675163085704,-4.19910263981595,0.0299746667143505,"88D3","scenedesmus",10
"92","Plate_10_91D3_B3",299.655488274828,-5.14715021562849,0.0406670940849387,"91D3","scenedesmus",10
"93","Plate_10_91D3_C3",298.728311222785,-4.75736954767303,0.0366101341945163,"91D3","scenedesmus",10
"94","Plate_10_91D3_D3",294.739218703224,-4.69201019029709,0.0358422566725884,"91D3","scenedesmus",10
"95","Plate_10_92D3_E3",241.331773840433,-4.1469976667178,0.0286427206330153,"92D3","scenedesmus",10
"96","Plate_10_92D3_F3",289.070247649988,-4.20529206083148,0.0271526472227113,"92D3","scenedesmus",10
"97","Plate_10_92D3_G3",248.17647867847,-4.20360968081912,0.0284374110471119,"92D3","scenedesmus",10
"98","Plate_10_94D3_B4",272.704056213628,-4.89033202546965,0.0386066261055697,"94D3","scenedesmus",10
"99","Plate_10_94D3_C4",287.616789128669,-4.7652330624734,0.0346098274155563,"94D3","scenedesmus",10
"100","Plate_10_94D3_D4",264.625218939725,-4.76054961858456,0.0366464003627849,"94D3","scenedesmus",10
"101","Plate_10_96D3_E4",227.385021562914,-4.54891056065597,0.0373802783990455,"96D3","scenedesmus",10
"102","Plate_10_96D3_F4",252.146006289954,-4.5150404949267,0.0330537753607912,"96D3","scenedesmus",10
"103","Plate_10_96D3_G4",272.092891797507,-4.2220020468961,0.0308131073818396,"96D3","scenedesmus",10
"104","Plate_10_98D3_B5",453.436733422777,-5.49481280635035,0.0292458083039562,"98D3","scenedesmus",10
"105","Plate_10_98D3_C5",272.681568136447,-4.79959184007693,0.0365016360898997,"98D3","scenedesmus",10
"106","Plate_10_98D3_D5",273.840412044011,-5.01583132806287,0.034736225640854,"98D3","scenedesmus",10
"107","Plate_10_AC_B11",177.058674401703,-4.33068402302015,0.0353690938018281,"AC","scenedesmus",10
"108","Plate_10_AC_C11",209.114445838095,-4.20261695461056,0.0299573122025495,"AC","scenedesmus",10
"109","Plate_10_AC_D11",210.160106101184,-4.15459104301249,0.029369899760882,"AC","scenedesmus",10
"110","Plate_10_AC_E11",220.647455754697,-4.2764382070088,0.0299238077640404,"AC","scenedesmus",10
"111","Plate_11_105D3_E5",362.53996940331,-4.61198032024333,0.0366919514439895,"105D3","scenedesmus",11
"112","Plate_11_105D3_F5",382.368669242036,-4.59671164191468,0.0356045018653125,"105D3","scenedesmus",11
"113","Plate_11_105D3_G5",402.803515924734,-4.70903987916409,0.03468843925393,"105D3","scenedesmus",11
"114","Plate_11_114D3_B5",302.960233383694,-4.56898903488138,0.0360066099210624,"114D3","scenedesmus",11
"115","Plate_11_114D3_C5",330.401361001814,-4.42130197255316,0.0339255858961204,"114D3","scenedesmus",11
"116","Plate_11_114D3_D5",309.585406514428,-4.4574768842078,0.0333660351182907,"114D3","scenedesmus",11
"117","Plate_11_118D3_E11",311.680426833485,-4.24300322479728,0.0278758582952792,"118D3","scenedesmus",11
"118","Plate_11_118D3_F11",337.894347147759,-4.22996777903335,0.0261024286731857,"118D3","scenedesmus",11
"119","Plate_11_118D3_G11",271.299931855149,-4.07179511154874,0.0287650157266229,"118D3","scenedesmus",11
"120","Plate_11_119D3_B11",245.13662925827,-4.15077857798948,0.028405875155948,"119D3","scenedesmus",11
"121","Plate_11_119D3_C11",251.006877339314,-4.36702965680638,0.0297800138715235,"119D3","scenedesmus",11
"122","Plate_11_119D3_D11",275.342280930777,-4.05795462895814,0.0264583453170757,"119D3","scenedesmus",11
"123","Plate_11_119D3_E4",299.27000949944,-5.4139896397624,0.0467585694602863,"119D3","scenedesmus",11
"124","Plate_11_119D3_F4",714.073251329268,-7.08826106142119,0.0483505235144126,"119D3","scenedesmus",11
"125","Plate_11_119D3_G4",275.250537789715,-4.99052648757674,0.0400873170107362,"119D3","scenedesmus",11
"126","Plate_11_120D3_E10",323.220657272116,-4.22287523330314,0.0257441659507592,"120D3","scenedesmus",11
"127","Plate_11_120D3_F10",312.105885112363,-4.22825752090298,0.0252054773034694,"120D3","scenedesmus",11
"128","Plate_11_120D3_G10",302.853994495099,-4.17363688698865,0.0254185105983075,"120D3","scenedesmus",11
"129","Plate_11_122D3_B10",250.036163805395,-4.25892542661184,0.0301286020532452,"122D3","scenedesmus",11
"130","Plate_11_122D3_C10",257.765073824255,-4.23891180653351,0.0284914281705977,"122D3","scenedesmus",11
"131","Plate_11_122D3_D10",260.535868551386,-4.2706852710175,0.0281428520344568,"122D3","scenedesmus",11
"132","Plate_11_123D3_E9",354.66675866327,-4.45108587638926,0.0307003563923692,"123D3","scenedesmus",11
"133","Plate_11_123D3_F9",396.065006395889,-4.36254883243276,0.0289831868671565,"123D3","scenedesmus",11
"134","Plate_11_123D3_G9",373.997500123513,-4.5139381272239,0.0308609998466079,"123D3","scenedesmus",11
"135","Plate_11_124D3_B4",369.062022205651,-4.44554144715133,0.0380963647696606,"124D3","scenedesmus",11
"136","Plate_11_124D3_B9",365.96462315231,-4.41348543790467,0.032300074798427,"124D3","scenedesmus",11
"137","Plate_11_124D3_C4",374.41124081642,-4.27504894096032,0.0336347183882385,"124D3","scenedesmus",11
"138","Plate_11_124D3_C9",358.851408783336,-4.40495037362597,0.0305607490157557,"124D3","scenedesmus",11
"139","Plate_11_124D3_D4",370.521656272813,-4.47156159925411,0.0357087919652751,"124D3","scenedesmus",11
"140","Plate_11_124D3_D9",323.710383841199,-4.18353900987932,0.0314898115766015,"124D3","scenedesmus",11
"141","Plate_11_127.1D3_E8",270.23260329346,-4.40236512050787,0.0280196803371292,"127.1D3","scenedesmus",11
"142","Plate_11_127.1D3_F8",295.083064414194,-4.31328980842023,0.0274398729233393,"127.1D3","scenedesmus",11
"143","Plate_11_127.1D3_G8",252.812902750713,-4.3475041455661,0.0291677591568877,"127.1D3","scenedesmus",11
"144","Plate_11_129D3_B8",305.254956858197,-4.26276706943575,0.0296676035985182,"129D3","scenedesmus",11
"145","Plate_11_129D3_C8",306.514512033171,-4.12312719110927,0.0268926267647923,"129D3","scenedesmus",11
"146","Plate_11_129D3_D8",284.435948867879,-4.1486240511863,0.0286962141322589,"129D3","scenedesmus",11
"147","Plate_11_130D3_E7",278.031187505046,-4.11533449066687,0.0258032502168974,"130D3","scenedesmus",11
"148","Plate_11_130D3_F7",296.266280120674,-4.16719463771168,0.0268013803970641,"130D3","scenedesmus",11
"149","Plate_11_130D3_G7",293.367565565193,-4.20428491688185,0.0263324947088184,"130D3","scenedesmus",11
"150","Plate_11_131D3_B7",340.470069226869,-4.50852685837724,0.0313062090860985,"131D3","scenedesmus",11
"151","Plate_11_131D3_C7",323.053478767315,-4.4906102581581,0.0311262705506498,"131D3","scenedesmus",11
"152","Plate_11_131D3_D7",370.226333039467,-4.46821155391177,0.0295007226775443,"131D3","scenedesmus",11
"153","Plate_11_94D3_E6",406.352300446143,-5.81616003913708,0.039364623860178,"94D3","scenedesmus",11
"154","Plate_11_94D3_F6",415.906442231778,-6.27643444052515,0.0406935434018411,"94D3","scenedesmus",11
"155","Plate_11_94D3_G6",384.47985782077,-5.57101473114586,0.0358308138657534,"94D3","scenedesmus",11
"156","Plate_11_96D3_B6",373.627167027669,-4.51873337126616,0.0336372873404898,"96D3","scenedesmus",11
"157","Plate_11_96D3_C6",455.835598794446,-4.45927189858732,0.0311690048818173,"96D3","scenedesmus",11
"158","Plate_11_96D3_D6",488.452877188194,-4.48676425596452,0.029333459912437,"96D3","scenedesmus",11
"159","Plate_11_AC_B3",272.784716008072,-4.2361776898621,0.02741287445706,"AC","scenedesmus",11
"160","Plate_11_AC_C3",261.805825518027,-4.16544788397958,0.0273687823634776,"AC","scenedesmus",11
"161","Plate_11_AC_D2",255.3596679195,-4.0988929575521,0.0273378227660856,"AC","scenedesmus",11
"162","Plate_11_AC_D3",264.031632590458,-4.18662363405549,0.0267887737284418,"AC","scenedesmus",11
"163","Plate_11_AC_E2",256.686398617289,-4.07012435976017,0.0271505848354994,"AC","scenedesmus",11
"164","Plate_11_AC_E3",253.680862863568,-4.10419991096858,0.02677100055244,"AC","scenedesmus",11
"165","Plate_11_AC_F2",298.880108955561,-4.14223610005725,0.025432104091319,"AC","scenedesmus",11
"166","Plate_11_AC_F3",292.363748181912,-4.20881534778308,0.0252760375578375,"AC","scenedesmus",11
"167","Plate_11_AC_G2",285.417636248834,-4.31651606284931,0.0259052530880818,"AC","scenedesmus",11
"168","Plate_11_AC_G3",271.951616295833,-4.29575916491626,0.0263394701872287,"AC","scenedesmus",11
"169","Plate_12_107D3_C5",460.157084692901,-4.56755184988724,0.0291064259269792,"107D3","scenedesmus",12
"170","Plate_12_107D3_C6",492.519510453785,-4.25131819846497,0.0262093165446965,"107D3","scenedesmus",12
"171","Plate_12_107D3_C7",418.762012767252,-4.89496040601556,0.0334134745402951,"107D3","scenedesmus",12
"172","Plate_12_108D3_C10",440.909186543514,-4.66283100700992,0.0308454773929533,"108D3","scenedesmus",12
"173","Plate_12_108D3_C8",448.068502812347,-4.6745885006782,0.0302614877959778,"108D3","scenedesmus",12
"174","Plate_12_108D3_C9",476.011400013081,-4.42613304911276,0.0279978903558719,"108D3","scenedesmus",12
"175","Plate_12_109D3_D2",409.24266887262,-4.07152303732906,0.0239337254656852,"109D3","scenedesmus",12
"176","Plate_12_109D3_D3",430.023257701119,-4.00759618520237,0.0227546973929771,"109D3","scenedesmus",12
"177","Plate_12_109D3_D4",420.987307695791,-4.01431590096966,0.023674191448898,"109D3","scenedesmus",12
"178","Plate_12_110D3_D5",408.482149300742,-5.00571169609912,0.033081216191697,"110D3","scenedesmus",12
"179","Plate_12_110D3_D6",447.384652529606,-4.43947577051486,0.0280968697352526,"110D3","scenedesmus",12
"180","Plate_12_110D3_D7",471.9840754039,-4.58311591778924,0.0294181168377174,"110D3","scenedesmus",12
"181","Plate_12_111D3_D10",420.860658298051,-4.10059933659082,0.0260667872155483,"111D3","scenedesmus",12
"182","Plate_12_111D3_D8",405.04488386222,-4.55771407178602,0.029525772080208,"111D3","scenedesmus",12
"183","Plate_12_111D3_D9",381.801046847887,-4.44200332441121,0.0296039788393416,"111D3","scenedesmus",12
"184","Plate_12_112D3_E2",371.606314672682,-4.32389576776484,0.027695744647535,"112D3","scenedesmus",12
"185","Plate_12_112D3_F2",350.316449715431,-4.41099039120336,0.0292615850219344,"112D3","scenedesmus",12
"186","Plate_12_112D3_G2",360.378196840204,-4.40417888337634,0.0293766734270611,"112D3","scenedesmus",12
"187","Plate_12_116D3_E3",438.541216013905,-4.51702868912368,0.0280096552115215,"116D3","scenedesmus",12
"188","Plate_12_116D3_F3",398.000854305151,-4.68204483919983,0.0298906013349896,"116D3","scenedesmus",12
"189","Plate_12_116D3_G3",388.552214794184,-4.35558594474851,0.0288365705649731,"116D3","scenedesmus",12
"190","Plate_12_121D3_E4",396.137963755566,-4.26567982615205,0.0290701011060277,"121D3","scenedesmus",12
"191","Plate_12_121D3_F4",447.926806750283,-4.19968655125541,0.026388452066488,"121D3","scenedesmus",12
"192","Plate_12_121D3_G4",363.331575503529,-4.52941064179299,0.0344191279388473,"121D3","scenedesmus",12
"193","Plate_12_125D3_E5",376.647880834783,-4.10604042412923,0.0275623876144893,"125D3","scenedesmus",12
"194","Plate_12_125D3_F5",404.1057756844,-4.05424221306676,0.0259879649397627,"125D3","scenedesmus",12
"195","Plate_12_125D3_G5",329.250433979491,-4.54662133119416,0.0343708661010203,"125D3","scenedesmus",12
"196","Plate_12_126D3_E7",424.841725982516,-4.31333310693768,0.0259868096118462,"126D3","scenedesmus",12
"197","Plate_12_126D3_F7",319.351222532791,-4.18293489398202,0.0270252458739015,"126D3","scenedesmus",12
"198","Plate_12_126D3_G7",487.334520222036,-4.15419519029189,0.0235175513857382,"126D3","scenedesmus",12
"199","Plate_12_127D3_E6",332.367302210017,-4.26448967464187,0.0274273746338218,"127D3","scenedesmus",12
"200","Plate_12_127D3_F6",336.56373475252,-4.28232331390099,0.02682627559106,"127D3","scenedesmus",12
"201","Plate_12_127D3_G6",439.149761821152,-4.58390631596101,0.0286895100203185,"127D3","scenedesmus",12
"202","Plate_12_131,1D3_E8",535.446881503855,-3.96368904849901,0.0227300879666548,"131,1D3","scenedesmus",12
"203","Plate_12_131,1D3_F8",500.161379813052,-3.99127978930283,0.0240161964207196,"131,1D3","scenedesmus",12
"204","Plate_12_131,1D3_G8",438.79865901046,-4.12582354105348,0.0275209878747355,"131,1D3","scenedesmus",12
"205","Plate_12_132,1D3_E10",394.258822192121,-4.30616318296091,0.0302202828067279,"132,1D3","scenedesmus",12
"206","Plate_12_132,1D3_F10",350.614974742161,-4.32649464968262,0.0299631062899191,"132,1D3","scenedesmus",12
"207","Plate_12_132,1D3_G10",475.616422074862,-4.2628275036646,0.0267099374285721,"132,1D3","scenedesmus",12
"208","Plate_12_132D3_E9",352.84430830345,-4.05559076479597,0.0273407158997685,"132D3","scenedesmus",12
"209","Plate_12_132D3_F9",466.357504555482,-4.00183972500038,0.0238187623931243,"132D3","scenedesmus",12
"210","Plate_12_132D3_G9",357.74102059192,-4.17558173295525,0.0280063331266632,"132D3","scenedesmus",12
"211","Plate_12_89D3_B2",427.992341262316,-4.43009586655369,0.028819368515203,"89D3","scenedesmus",12
"212","Plate_12_89D3_B3",396.52573283368,-4.86094551693527,0.0319078178145199,"89D3","scenedesmus",12
"213","Plate_12_89D3_B4",390.0676500243,-4.77564504910158,0.031784239611134,"89D3","scenedesmus",12
"214","Plate_12_90D3_B5",413.354207436195,-4.67271913878363,0.0307235921453233,"90D3","scenedesmus",12
"215","Plate_12_90D3_B6",475.486356708482,-4.81111554818572,0.0288486129431602,"90D3","scenedesmus",12
"216","Plate_12_90D3_B7",462.646046396256,-4.48177172588069,0.028082757221645,"90D3","scenedesmus",12
"217","Plate_12_93D3_B10",391.951449093106,-4.41358194624708,0.029402576245679,"93D3","scenedesmus",12
"218","Plate_12_93D3_B8",414.58182343034,-4.56090827757933,0.0287977432488265,"93D3","scenedesmus",12
"219","Plate_12_93D3_B9",417.438643794792,-4.41441792738337,0.0285795947193655,"93D3","scenedesmus",12
"220","Plate_12_99D3_C2",441.844357148542,-4.29502167697515,0.0273936134889457,"99D3","scenedesmus",12
"221","Plate_12_99D3_C3",393.700620735364,-4.86704276962525,0.0330895138969068,"99D3","scenedesmus",12
"222","Plate_12_99D3_C4",433.076792458265,-4.21747315805978,0.0265973296617031,"99D3","scenedesmus",12
"223","Plate_12_AC_B11",344.875924177451,-3.71118503181935,0.0230621346969455,"AC","scenedesmus",12
"224","Plate_12_AC_C11",511.936906095857,-4.01083003201539,0.0223287605906096,"AC","scenedesmus",12
"225","Plate_12_AC_D11",307.772349215584,-3.74780338564207,0.0244236421248905,"AC","scenedesmus",12
"226","Plate_12_AC_E11",279.555957546533,-3.53332328709013,0.021574691217518,"AC","scenedesmus",12
"227","Plate_13_127,1D3_E3",371.307282871414,-3.81229503075603,0.0233393039518298,"127,1D3","scenedesmus",13
"228","Plate_13_127,1D3_F3",393.043883245314,-3.83056934567008,0.0232044255033524,"127,1D3","scenedesmus",13
"229","Plate_13_127,1D3_G3",362.901221057392,-3.95660466913563,0.0262512461419072,"127,1D3","scenedesmus",13
"230","Plate_13_129D3_E6",706.356853901768,-3.81709318676414,0.0189261861589322,"129D3","scenedesmus",13
"231","Plate_13_129D3_F6",602.063867436413,-3.79046746002407,0.020358020360896,"129D3","scenedesmus",13
"232","Plate_13_129D3_G6",598.894684107152,-3.73089561208451,0.0223290376003789,"129D3","scenedesmus",13
"233","Plate_13_133D3_B2",687.041519954102,-4.05361617608878,0.0209361912365521,"133D3","scenedesmus",13
"234","Plate_13_133D3_C2",461.807363375319,-4.30589134046215,0.0282081369047631,"133D3","scenedesmus",13
"235","Plate_13_133D3_D2",501.718073075721,-4.07869570718351,0.02469142483924,"133D3","scenedesmus",13
"236","Plate_13_134D3_E2",700.649814592734,-3.85883445310425,0.0180421239145587,"134D3","scenedesmus",13
"237","Plate_13_134D3_F2",490.702493859285,-3.86660209850008,0.0223923773463027,"134D3","scenedesmus",13
"238","Plate_13_134D3_G2",472.533907260778,-3.79033664838278,0.0221155551925353,"134D3","scenedesmus",13
"239","Plate_13_135D3_B3",429.644040655206,-4.26983608834456,0.0261963634099305,"135D3","scenedesmus",13
"240","Plate_13_135D3_C3",482.444436585629,-4.20020846105831,0.0247115803259022,"135D3","scenedesmus",13
"241","Plate_13_135D3_D3",544.752969047992,-3.85706890241584,0.0207106132790149,"135D3","scenedesmus",13
"242","Plate_13_137D3_B4",371.335843868408,-3.71341990106254,0.0215746573773846,"137D3","scenedesmus",13
"243","Plate_13_137D3_C4",514.5960932094,-3.80159262776379,0.0186098974983787,"137D3","scenedesmus",13
"244","Plate_13_137D3_D4",473.586884633792,-3.91701048299571,0.0214519570785177,"137D3","scenedesmus",13
"245","Plate_13_139D3_E4",363.208551030344,-3.73426951270684,0.0224152323964375,"139D3","scenedesmus",13
"246","Plate_13_139D3_F4",383.930941663261,-3.78701417083317,0.0235307636959082,"139D3","scenedesmus",13
"247","Plate_13_139D3_G4",366.091451256862,-3.86099185737224,0.025222242555521,"139D3","scenedesmus",13
"248","Plate_13_141D3_B5",388.94355091064,-3.76278378057861,0.0210516032217627,"141D3","scenedesmus",13
"249","Plate_13_141D3_C5",392.277728538374,-3.70997197471007,0.0213346893003712,"141D3","scenedesmus",13
"250","Plate_13_141D3_D5",373.151111878684,-3.69940161940655,0.0212922565635204,"141D3","scenedesmus",13
"251","Plate_13_142D3_E5",342.487536142327,-3.61942262302475,0.0217645693128558,"142D3","scenedesmus",13
"252","Plate_13_142D3_F5",329.473974912667,-3.75451315127188,0.0238363808281657,"142D3","scenedesmus",13
"253","Plate_13_142D3_G5",423.977426518948,-3.81002820766794,0.022815755460504,"142D3","scenedesmus",13
"254","Plate_13_143D3_B6",467.115895638118,-3.91142590242192,0.0207078132387347,"143D3","scenedesmus",13
