"asv","Isolate","count","totalReads","asvMatches","contamFlag","numasvs","mixed","host_species","plate_no","meanCC","seCC","meanGR","seGR","pCC_greater","pCC_less","pGR_greater","pGR_less","ccEffect","grEffect","annotation","seq_type","Domain","Phylum","Class","Order","Family","Genus"
"ASV0060","128D31",3641,8556,27,FALSE,2,TRUE,"selenastrum","21",5297.75586462068,4795.46748460516,0.0164365446863731,0.00248813262129722,0.208335131128471,0.791664868871529,0.95575034504111,0.0442496549588896,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR","Miseq","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"ASV0060","143D31",1908,8773,17,FALSE,2,TRUE,"selenastrum","25",3546.48531816649,1537.94666993278,0.0130895447174354,0.0021682187438157,0.0900413081995934,0.909958691800407,0.981894183590185,0.0181058164098148,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR","Miseq","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"ASV0095","31D31",26,239,9,FALSE,2,TRUE,"chlorella","2",526.100587770445,73.9125371939901,0.0199832175560967,0.00136728803704984,0.0362832023044707,0.963716797695529,0.999995770200697,4.22979930255215e-06,"Increased CC","Decreased GR","Increased CC
Decreased GR","Miseq","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia"
"ASV0013","107D3",6108,8016,25,FALSE,2,TRUE,"scenedesmus","12",457.146202974429,21.3451097276449,0.0295764054291695,0.00209289522989516,0.0820259583684015,0.917974041631599,0.037228081277391,0.962771918722609,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR","Miseq","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chromobacteriaceae","Vogesella"
"ASV0013","110D3",840,8292,64,FALSE,3,TRUE,"scenedesmus","12",442.616959003212,18.48577652625,0.0301987343633859,0.00149085558188897,0.109486378295479,0.890513621704521,0.012625979163234,0.987374020836766,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR","Miseq","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chromobacteriaceae","Vogesella"
"ASV0013","179D3",1551,8445,19,FALSE,2,TRUE,"monoraphidium","16",1361.94012338122,250.647682404911,0.0103371624321527,0.00104018247044047,0.0432569096983232,0.956743090301677,0.972480015859928,0.0275199841400718,"Increased CC","Decreased GR","Increased CC
Decreased GR","Miseq","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chromobacteriaceae","Vogesella"
"ASV0013","236D3",1050,8630,35,FALSE,3,TRUE,"selenastrum","22",429.87549641926,12.2138963322332,0.0278933619528262,0.00151934849932787,0.00294872091117395,0.997051279088826,0.765260807912876,0.234739192087124,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chromobacteriaceae","Vogesella"
"ASV0013","34D3",3229,8254,34,FALSE,2,TRUE,"chlorella","4",387.698458956842,3.65834286823701,0.0635263225947803,0.0032322284960896,4.08450593508923e-07,0.999999591549406,0.650727030761225,0.349272969238775,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chromobacteriaceae","Vogesella"
"ASV0051","142point1D31",7347,8662,19,FALSE,2,TRUE,"selenastrum","24",900.327843960079,421.876650669956,0.019961488831744,0.00330342951681263,0.186414335094175,0.813585664905825,0.765524365673649,0.234475634326351,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Miseq","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"ASV0027","63D3",3421,8604,37,FALSE,3,TRUE,"coelastrum","7",523.776740600583,20.3109572192448,0.0374304996510904,0.00299726270996905,0.268543127459026,0.731456872540974,0.0638375358033571,0.936162464196643,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Miseq","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcaceae_unclassified"
"ASV0027","89D3",2166,8975,27,FALSE,2,TRUE,"scenedesmus","12",404.861908277215,11.714512765626,0.0308371419484175,0.00100951726740785,0.233275639346382,0.766724360653618,0.00215333088301771,0.997846669116982,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR","Miseq","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcaceae_unclassified"
"ASV0027","90D3",871,6919,33,FALSE,3,TRUE,"scenedesmus","12",450.495536903899,18.9369759887519,0.0292183208349476,0.000784435185276555,0.0931553884802065,0.906844611519793,0.00135714084322585,0.998642859156774,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR","Miseq","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcaceae_unclassified"
"ASV0011","150D3",1772,8688,21,FALSE,3,TRUE,"scenedesmus","13",459.67488565913,9.51127808537015,0.0239388412495291,0.00104696398895175,0.917673927564334,0.0823260724356661,0.0252576125433713,0.974742387456629,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","uncultured"
"ASV0064","76D3",3368,8884,17,FALSE,2,TRUE,"coelastrum","7",556.03461878081,24.9279663264373,0.0338332196862276,0.00768539415181921,0.0889127690721421,0.911087230927858,0.344831343940256,0.655168656059744,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"ASV0050","190D3",5079,8506,34,FALSE,2,TRUE,"monoraphidium","16",1031.86447150085,95.4326407736524,0.0115849377796544,0.00042132170379656,0.0601541188012053,0.939845881198795,0.953594721555575,0.046405278444425,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"ASV0006","116D31",6799,8714,11,FALSE,2,TRUE,"monoraphidium","16",887.828206957168,116.071321095959,0.0126079508925476,0.000672561284867265,0.160634195556882,0.839365804443118,0.849071276528347,0.150928723471653,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"ASV0006","124D3",5580,8935,19,FALSE,2,TRUE,"scenedesmus","11",360.42022260546,7.64478473636019,0.0336317517193929,0.00115526625793713,1.68514628216043e-06,0.999998314853718,0.000685317426844239,0.999314682573156,"Increased CC","Increased GR","Increased CC
Increased GR","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"ASV0006","145D31",2861,9047,9,FALSE,2,TRUE,"selenastrum","25",791.850216341812,20.9336801437109,0.0179917923567811,0.000412379256557366,6.88410081111062e-05,0.999931158991889,0.999495968730868,0.000504031269131897,"Increased CC","Decreased GR","Increased CC
Decreased GR","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"ASV0006","14D3",7562,8573,13,FALSE,2,TRUE,"chlorella","3",183.969671732774,6.08901529283314,0.045246766917865,0.00113205359100649,0.998489067830519,0.00151093216948139,0.994617475109991,0.00538252489000875,"Decreased CC","Decreased GR","Decreased CC
Decreased GR","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"ASV0006","165D3",6638,8610,19,FALSE,2,TRUE,"monoraphidium","20",857.338689275161,213.911967822105,0.0197809481702113,0.00684061675606552,0.269525583619408,0.730474416380592,0.285339671521517,0.714660328478483,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"ASV0006","187D3",6621,8531,26,FALSE,2,TRUE,"monoraphidium","16",22332.1485068999,19406.4106411118,0.00860734910557132,0.000695448739414082,0.190150382523525,0.809849617476475,0.996215099787165,0.00378490021283443,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"ASV0006","40D3",5131,8434,18,FALSE,2,TRUE,"chlorella","5",403.69982751281,18.6545508309555,0.0647111138260147,0.00243559530638473,0.00369121401279464,0.996308785987205,0.00385117021222958,0.99614882978777,"Increased CC","Increased GR","Increased CC
Increased GR","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"ASV0006","63D3",925,8604,37,FALSE,3,TRUE,"coelastrum","7",523.776740600583,20.3109572192448,0.0374304996510904,0.00299726270996905,0.268543127459026,0.731456872540974,0.0638375358033571,0.936162464196643,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"ASV0003","145D31",6171,9047,9,FALSE,2,TRUE,"selenastrum","25",791.850216341812,20.9336801437109,0.0179917923567811,0.000412379256557366,6.88410081111062e-05,0.999931158991889,0.999495968730868,0.000504031269131897,"Increased CC","Decreased GR","Increased CC
Decreased GR","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV0003","150D31",1143,8299,30,FALSE,2,TRUE,"selenastrum","25",963.696536621983,101.96371815238,0.0144107869912647,0.000344786483752319,0.0163775473687669,0.983622452631233,0.999997754339512,2.24566048756571e-06,"Increased CC","Decreased GR","Increased CC
Decreased GR","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV0003","202D3",5251,8806,43,FALSE,2,TRUE,"selenastrum","23",433.878353583066,17.3525790394118,0.0267771410635702,0.00135695376008357,0.954059569339793,0.0459404306602073,0.00287589007099216,0.997124109929008,"Decreased CC","Increased GR","Decreased CC
Increased GR","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV0003","92D3",862,8396,32,FALSE,4,TRUE,"scenedesmus","10",259.526167569819,14.903601778774,0.0280775928407223,0.000466255107080423,0.0206819458796485,0.979318054120352,0.942843091019216,0.0571569089807844,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV0014","142point1D31",1242,8662,19,FALSE,2,TRUE,"selenastrum","24",900.327843960079,421.876650669956,0.019961488831744,0.00330342951681263,0.186414335094175,0.813585664905825,0.765524365673649,0.234475634326351,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV0014","36point1D3",1919,8096,23,FALSE,2,TRUE,"chlorella","5",422.035123610922,10.5238623613218,0.0589671522370038,0.00298174141790433,0.000413799373097461,0.999586200626903,0.0364595443106264,0.963540455689374,"Increased CC","Increased GR","Increased CC
Increased GR","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV0001","128D31",3573,8556,27,FALSE,2,TRUE,"selenastrum","21",5297.75586462068,4795.46748460516,0.0164365446863731,0.00248813262129722,0.208335131128471,0.791664868871529,0.95575034504111,0.0442496549588896,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV0001","135D31",6600,8795,28,FALSE,2,TRUE,"selenastrum","21",870.8840166594,186.316320466461,0.0153426811316761,0.000918513900865212,0.0695947230633108,0.930405276936689,0.999192559984817,0.000807440015182535,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV0001","24D31",1179,8572,18,FALSE,2,TRUE,"chlorella","2",281.093594159837,7.17839946738987,0.0625096745981183,0.00234810666558567,0.209291572289868,0.790708427710132,0.113324271396818,0.886675728603182,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV0001","38D31",4224,8623,25,FALSE,4,TRUE,"coelastrum","6",591.40078774448,26.8997648151545,0.0298156455986272,0.00131327000173732,0.0202204437983083,0.979779556201692,0.891793977810376,0.108206022189624,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV0001","52point1D31",2165,8990,22,FALSE,2,TRUE,"coelastrum","6",528.738544966573,17.4090842453818,0.0281857814530387,0.00213717020847862,0.050416130734738,0.949583869265262,0.899124105648359,0.100875894351641,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV0001","87D31",2016,8655,46,FALSE,4,TRUE,"scenedesmus","15",546.955628331813,32.932173392821,0.0268393602064021,0.000785445461149933,0.144233655090799,0.855766344909201,0.942145350302758,0.0578546496972423,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV0001","92D3",1510,8396,32,FALSE,4,TRUE,"scenedesmus","10",259.526167569819,14.903601778774,0.0280775928407223,0.000466255107080423,0.0206819458796485,0.979318054120352,0.942843091019216,0.0571569089807844,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV0001","9point1D31",1440,8252,28,FALSE,3,TRUE,"chlorella","1",358.002719467997,11.7888343161631,0.0612622057992769,0.00241316636237618,0.00069606916902243,0.999303930830978,0.008834169352578,0.991165830647422,"Increased CC","Increased GR","Increased CC
Increased GR","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV0007","117D31",2545,8466,10,FALSE,2,TRUE,"monoraphidium","16",1186.75811098762,150.14126898287,0.013132327668609,0.000814705076035778,0.0340045018022998,0.9659954981977,0.736518049860557,0.263481950139443,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobiaceae_unclassified"
"ASV0007","143D31",6776,8773,17,FALSE,2,TRUE,"selenastrum","25",3546.48531816649,1537.94666993278,0.0130895447174354,0.0021682187438157,0.0900413081995934,0.909958691800407,0.981894183590185,0.0181058164098148,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobiaceae_unclassified"
"ASV0007","32D31",3125,8094,31,FALSE,2,TRUE,"chlorella","3",396.929085369638,14.7872336674002,0.0487969357563173,0.00108653567414983,0.00282570319585013,0.99717429680415,0.972119132421431,0.0278808675785695,"Increased CC","Decreased GR","Increased CC
Decreased GR","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobiaceae_unclassified"
"ASV0059","117D31",5906,8466,10,FALSE,2,TRUE,"monoraphidium","16",1186.75811098762,150.14126898287,0.013132327668609,0.000814705076035778,0.0340045018022998,0.9659954981977,0.736518049860557,0.263481950139443,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV0015","116D31",1906,8714,11,FALSE,2,TRUE,"monoraphidium","16",887.828206957168,116.071321095959,0.0126079508925476,0.000672561284867265,0.160634195556882,0.839365804443118,0.849071276528347,0.150928723471653,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Blastomonas"
"ASV0015","24D31",7371,8572,18,FALSE,2,TRUE,"chlorella","2",281.093594159837,7.17839946738987,0.0625096745981183,0.00234810666558567,0.209291572289868,0.790708427710132,0.113324271396818,0.886675728603182,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Blastomonas"
"ASV0015","87D31",1968,8655,46,FALSE,4,TRUE,"scenedesmus","15",546.955628331813,32.932173392821,0.0268393602064021,0.000785445461149933,0.144233655090799,0.855766344909201,0.942145350302758,0.0578546496972423,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Blastomonas"
"ASV0056","121D3",6038,8516,32,FALSE,2,TRUE,"scenedesmus","12",402.465447957403,24.6246224759344,0.029959227306268,0.00236049766596962,0.255001329698445,0.744998670301555,0.0432021796659501,0.95679782033405,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus"
"ASV0068","103D31",2203,8966,11,FALSE,2,TRUE,"monoraphidium","17",705.450240900117,102.56056146434,0.0194252624776686,0.0028673318969757,0.8746040406266,0.1253959593734,0.0371088726634109,0.962891127336589,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis"
"ASV0065","50D31",3190,8343,61,FALSE,3,TRUE,"coelastrum","6",532.220102892367,14.25189236936,0.0311648860693484,0.00137590809537779,0.0259002521217569,0.974099747878243,0.709776154076242,0.290223845923758,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Porphyrobacter"
"ASV0009","52point1D31",6256,8990,22,FALSE,2,TRUE,"coelastrum","6",528.738544966573,17.4090842453818,0.0281857814530387,0.00213717020847862,0.050416130734738,0.949583869265262,0.899124105648359,0.100875894351641,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Porphyrobacter"
"ASV0017","135D31",2147,8795,28,FALSE,2,TRUE,"selenastrum","21",870.8840166594,186.316320466461,0.0153426811316761,0.000918513900865212,0.0695947230633108,0.930405276936689,0.999192559984817,0.000807440015182535,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"ASV0017","48D31",5506,8573,23,FALSE,2,TRUE,"coelastrum","6",522.055629221327,8.70309647711681,0.0311237607277082,0.000877189760769225,0.0209078527162237,0.979092147283776,0.792585046115045,0.207414953884955,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"ASV0069","183point1D3",1310,7991,16,FALSE,2,TRUE,"monoraphidium","19",1001.01792140065,101.304452620534,0.0150078051821366,0.000485380421664775,0.0318171340896425,0.968182865910358,0.977067201450476,0.0229327985495244,"Increased CC","Decreased GR","Increased CC
Decreased GR","Miseq","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Azospirillum"
"ASV0067","1point1D31",2606,8363,86,FALSE,2,TRUE,"chlorella","1",322.915928279577,9.25035588820333,0.0514861976583548,0.00062858587628014,0.000505054570032087,0.999494945429968,0.21515065396996,0.78484934603004,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Miseq","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ASV0029","235D3",2815,8770,38,FALSE,2,TRUE,"selenastrum","24",532.714171094648,16.1623292842122,0.0244016858678555,0.00108445479463366,0.127426763185549,0.872573236814451,0.636622262130964,0.363377737869036,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Rheinheimera"
"ASV0031","116D3",3467,8387,27,FALSE,3,TRUE,"scenedesmus","12",408.364761871374,15.3327864284923,0.0289122756286198,0.000544300122832327,0.219368234477132,0.780631765522868,0.000359136214094074,0.999640863785906,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR","Miseq","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Aeromonadaceae","Aeromonas"
"ASV0033","87D31",1581,8655,46,FALSE,4,TRUE,"scenedesmus","15",546.955628331813,32.932173392821,0.0268393602064021,0.000785445461149933,0.144233655090799,0.855766344909201,0.942145350302758,0.0578546496972423,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Miseq","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
