,Group,asv,count,Isolate_Number,jar_no,host_species,capture_day,color,total_count_group,rel_abund,contaminated,size,domain,phylum,class,order,family,genus
13,134_D3,ASV14466,1,134_D3,J24-,Scenedesmus,D3,#E0115F,1,1,TRUE,1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacteraceae_unclassified
14,138D31,ASV00072,7939,138D31,J41-,Selenastrum,D31,#386CB0,8635,0.9193978,TRUE,8069,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas
15,142point1D31,ASV00076,7347,142_1D31,J42-,Selenastrum,D31,#386CB0,8662,0.848187486,TRUE,7347,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
16,143_D3,ASV14469,1,143_D3,J25-,Scenedesmus,D3,#E0115F,1,1,TRUE,1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonadaceae_unclassified
17,148_D3,ASV14472,1,148_D3,J26-,Scenedesmus,D3,#E0115F,1,1,TRUE,1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
18,150point1D31,ASV00041,8114,150_1D31,J44-,Selenastrum,D31,#386CB0,8272,0.98089942,TRUE,18363,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcaceae_unclassified
19,173_D3,ASV14473,1,173_D3,J30-,Monoraphidium,D3,#FDC086,1,1,TRUE,1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter
20,176_D3,ASV14433,1,176_D3,J31-,Monoraphidium,D3,#FDC086,1,1,TRUE,1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
21,185D3,ASV00338,243,185D3,J33-,Monoraphidium,D3,#FDC086,8167,0.029753888,TRUE,243,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonadaceae_unclassified
22,194_D3,ASV14437,1,194_D3,J33-,Monoraphidium,D3,#FDC086,1,1,TRUE,1,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Sanguibacteraceae,Sanguibacter-Flavimobilis
23,1_D3,ASV14442,1,1_D3,J1-,Chlorella,D3,#7FC97F,1,1,TRUE,1,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Niveispirillum
24,1point1D31,ASV00124,2606,1_1D31,J1-,Chlorella,D31,#7FC97F,8363,0.311610666,TRUE,2831,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
25,28_D3,ASV14443,1,28_D3,J5-,Chlorella,D3,#7FC97F,1,1,TRUE,1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonadaceae_unclassified
26,31D31,ASV00251,206,31D31,J8-,Chlorella,D31,#7FC97F,239,0.861924686,TRUE,558,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
27,31D31,ASV00790,26,31D31,J8-,Chlorella,D31,#7FC97F,239,0.108786611,TRUE,26,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia
28,32D3,ASV00077,6756,32D3,J6-,Chlorella,D3,#7FC97F,8373,0.806879255,TRUE,7332,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
29,34D3,ASV00077,187,34D3,J6-,Chlorella,D3,#7FC97F,8254,0.022655682,TRUE,7332,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
30,40_D3,ASV14444,1,40_D3,J7-,Chlorella,D3,#7FC97F,1,1,TRUE,1,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified
31,41D31,ASV00124,196,41D31,J12-,Coelastrum,D31,#BEAED4,8353,0.023464623,TRUE,2831,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
32,43point1_D3,ASV14445,1,43_1_D3,J8-,Chlorella,D3,#7FC97F,1,1,TRUE,1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonadaceae_unclassified
33,46D31,ASV00064,570,46D31,J13-,Coelastrum,D31,#BEAED4,8911,0.063965885,TRUE,9188,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus
34,46point1D31,ASV00052,3399,46_1D31,J13-,Coelastrum,D31,#BEAED4,8411,0.404113661,TRUE,12122,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus
35,4_DF,ASV14501,1,4_D31,J1-,Chlorella,D31,#7FC97F,1,1,TRUE,1,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas
36,50D31,ASV00115,3190,50D31,J15-,Coelastrum,D31,#BEAED4,8343,0.382356466,TRUE,3319,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Porphyrobacter
37,57D3,ASV00084,6603,57D3,J12-,Coelastrum,D3,#BEAED4,8634,0.764767199,TRUE,6863,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
38,58point2D31,ASV00064,175,58_2D31,J16-,Coelastrum,D31,#BEAED4,8237,0.021245599,TRUE,9188,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus
39,62_D3,ASV16781,1,62_D3,J12-,Coelastrum,D3,#BEAED4,1,1,TRUE,1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonadaceae_unclassified
40,62point1D3,ASV00041,457,62_1D3,J12-,Coelastrum,D3,#BEAED4,7956,0.057440925,TRUE,18363,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcaceae_unclassified
41,63D3,ASV00041,3421,63D3,J13-,Coelastrum,D3,#BEAED4,8604,0.397605765,TRUE,18363,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcaceae_unclassified
42,63_D3,ASV14504,1,63_D3,J13-,Coelastrum,D3,#BEAED4,1,1,TRUE,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_unclassified,Rhizobiales_unclassified
43,64D3,ASV00041,2835,64D3,J13-,Coelastrum,D3,#BEAED4,8417,0.336818344,TRUE,18363,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcaceae_unclassified
44,66_D3,ASV14506,1,66_D3,J13-,Coelastrum,D3,#BEAED4,1,1,TRUE,1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
45,76D3,ASV00114,3368,76D3,J16-,Coelastrum,D3,#BEAED4,8884,0.37910851,TRUE,3380,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas
46,76D31,ASV00054,490,76D31,J22-,Scenedesmus,D31,#E0115F,8633,0.056758948,TRUE,11739,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
47,7_DF,ASV00052,1,7_D31,J2-,Chlorella,D31,#7FC97F,1,1,TRUE,12122,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus
48,87D31,ASV00054,1581,87D31,J26-,Scenedesmus,D31,#E0115F,8655,0.182668977,TRUE,11739,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
49,89D3,ASV00041,2166,89D3,J19-,Scenedesmus,D3,#E0115F,8975,0.241337047,TRUE,18363,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcaceae_unclassified
50,90D3,ASV00041,871,90D3,J19-,Scenedesmus,D3,#E0115F,6919,0.125885244,TRUE,18363,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcaceae_unclassified
51,98_D3,ASV14513,1,98_D3,J20-,Scenedesmus,D3,#E0115F,1,1,TRUE,1,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Niveispirillum
52,99D31,ASV00054,496,99D31,J29-,Monoraphidium,D31,#FDC086,8535,0.05811365,TRUE,11739,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
53,99_D3,ASV14516,1,99_D3,J20-,Scenedesmus,D3,#E0115F,1,1,TRUE,1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonadaceae_unclassified
54,9point2D31,ASV00064,7682,9_2D31,J2-,Chlorella,D31,#7FC97F,8593,0.893983475,TRUE,9188,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus
55,S7,ASV00052,8687,7_D31,J2-,Chlorella,D31,#7FC97F,8762,0.99144031,TRUE,12122,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus
